,lon,-90.7964
000111101,lat,39.8744
0001111010,lon,-105.2456
0001111011,lon,-105.5167
00011111,lon,-106.2833
000111110,lat,40.5333
0001111100,lon,-107.55
0001111101,lon,-107.5333
000111111,lat,40.7333
0001111110,lon,-105.2264
0001111111,lon,-105.6242
001,lat,35.3889
0010,lon,-97.3442
00100,lat,31.4072
001000,lon,-99.1861
0010000,lat,28.6794
00100000,lon,-101.433
001000000,lat,21.67
0010000000,lon,-102.58
0010000001,lon,-103.62
001000001,lat,25.733
0010000010,lon,-99.83
0010000011,lon,-99.8667
00100001,lon,-101.2519
001000010,lat,30.2678
0010000100,lon,-103.3
0010000101,lon,-102.9167
001000011,lat,29.95
0010000110,lon,-100.4519
0010000111,lon,-100.3
0010001,lat,28.4114
00100010,lon,-98.0678
001000100,lat,26.1728
0010001000,lon,-98.82
0010001001,lon,-98.4
001000101,lat,26.2
0010001010,lon,-97.68
0010001011,lon,-97.6956
00100011,lon,-98.2339
001000110,lat,29.5439
0010001100,lon,-98.8433
0010001101,lon,-98.7167
001000111,lat,29.8706
0010001110,lon,-97.85
0010001111,lon,-97.7333
001001,lon,-100.2831
0010010,lat,33.5281
00100100,lon,-102.8072
001001000,lat,32.6333
0010010000,lon,-103.9333
0010010001,lon,-104.1617
001001001,lat,32.3978
0010010010,lon,-101.4814
0010010011,lon,-101.3744
00100101,lon,-102.4333
001001010,lat,34.5119
0010010100,lon,-103.4333
0010010101,lon,-103.6867
001001011,lat,34.1981
0010010110,lon,-101.7461
0010010111,lon,-101.4969
0010011,lat,33.5947
00100110,lon,-98.6058
001001100,lat,32.3989
0010011000,lon,-99.5606
0010011001,lon,-99.6167
001001101,lat,32.3139
0010011010,lon,-98.0853
0010011011,lon,-97.8069
00100111,lon,-98.65
001001110,lat,34.65
0010011100,lon,-99.3344
0010011101,lon,-99.36
001001111,lat,34.6097
0010011110,lon,-98.2333
0010011111,lon,-97.9519
00101,lat,32.1667
001010,lon,-94.3411
0010100,lat,29.9167
00101000,lon,-96.2536
001010000,lat,28.6167
0010100000,lon,-97.0464
0010100001,lon,-97.0106
001010001,lat,29.2353
0010100010,lon,-95.5678
0010100011,lon,-95.3667
00101001,lon,-95.9833
001010010,lat,31.0736
0010100100,lon,-96.5403
0010100101,lon,-97.0667
001010011,lat,31.1333
0010100110,lon,-95.3833
0010100111,lon,-95.2736
0010101,lat,30.6036
00101010,lon,-92.065
001010100,lat,29.9689
0010101000,lon,-92.83
0010101001,lon,-93.15
001010101,lat,30.0333
0010101010,lon,-91.5256
0010101011,lon,-91.2333
00101011,lon,-92.4617
001010110,lat,31.3747
0010101100,lon,-93.3911
0010101101,lon,-93.3333
001010111,lat,31.2833
0010101110,lon,-91.6667
0010101111,lon,-91.7089
001011,lon,-93.895
0010110,lat,33.6461
00101100,lon,-96.015
001011000,lat,32.8667
0010110000,lon,-96.8422
0010110001,lon,-97.0189
001011001,lat,32.8167
0010110010,lon,-94.8914
0010110011,lon,-95.0717
00101101,lon,-95.8672
001011010,lat,34.3325
0010110100,lon,-96.6667
0010110101,lon,-96.7178
001011011,lat,34.4833
0010110110,lon,-94.8981
0010110111,lon,-94.6333
0010111,lat,33.8228
00101110,lon,-92.3989
001011100,lat,32.8869
0010111000,lon,-93.0667
0010111001,lon,-93.3878
001011101,lat,32.9667
0010111010,lon,-92.0056
0010111011,lon,-91.5058
00101111,lon,-92.4294
001011110,lat,34.5697
0010111100,lon,-93.06
0010111101,lon,-93.1594
001011111,lat,34.4764
0010111110,lon,-91.5833
0010111111,lon,-91.9928
0011,lon,-96.75
00110,lat,38.5872
001100,lon,-99.9964
0011000,lat,36.9667
00110000,lon,-102.6133
001100000,lat,36.3333
0011000000,lon,-103.8667
0011000001,lon,-103.9667
001100001,lat,36.1981
0011000010,lon,-101.4
0011000011,lon,-101.405
00110001,lon,-102.1236
001100010,lat,38.0392
0011000100,lon,-103.6947
0011000101,lon,-103.51
001100011,lat,37.6333
