10000100,lon,-89.0711,123,147,108601,0
0010101,lat,30.6036,183,286,186658,0
00011111,lon,-106.2833,105,128,90820,0
01010000,lon,-126.32,128,155,114010,0
01010001,lon,-130.36,136,172,123402,0
10000101,lon,-89.1597,127,166,114522,0
100010101,lat,26.0933,58,67,46956,0
011101001,lat,50.33,49,60,39440,0
011101000,lat,50.58,43,54,34442,0
1101000,lat,44.2656,164,241,159974,0
101100110,lat,38.6517,63,78,51634,0
00111100,lon,-95.2358,101,133,87893,0
00111101,lon,-95.3867,108,133,93934,0
1010001,lat,-32.9869,177,212,167464,1
1010000,lat,-32.0486,137,270,137730,1
01110,lat,49.2,425,1027,747455,1
01111,lat,48.2725,449,1077,812073,1
10101100,lon,147.1524,84,100,70450,1
10101101,lon,145.3106,59,77,48343,1
01100110,lon,-103.4819,86,116,73486,0
01100111,lon,-103.5464,96,116,81946,0
101010101,lat,-40.2028,46,67,37392,1
101010100,lat,-41.8983,46,51,36656,1
1100011,lat,42.93,233,325,246545,0
000101,lon,-120.4725,303,521,379783,1
000100,lon,-120.6706,305,595,404855,1
00001010,lon,-107.25,86,106,72626,1
00001011,lon,-107.2322,100,118,85530,1
0110010,lat,44.8503,187,264,186608,0
0110011,lat,44.6667,168,232,162346,0
011011111,lat,45.2236,58,69,47072,0
011011110,lat,45.0,66,82,54322,0
101100101,lat,18.4981,49,75,40175,1
0011001,lat,36.7647,197,271,197927,0
0011000,lat,36.9667,203,265,202715,0
101100100,lat,35.9167,57,64,45988,1
11111010,lon,128.65,144,176,131194,0
11111011,lon,118.717,180,227,172990,0
000101111,lat,40.7178,34,38,26842,0
000101110,lat,40.6117,64,72,52058,0
1011110,lat,38.433,290,530,366130,1
101101100,lat,39.75,68,84,56082,0
001000110,lat,29.5439,88,106,74298,0
001000111,lat,29.8706,70,80,57430,0
01111101,lon,-101.27,103,142,90546,0
01111100,lon,-100.4,99,120,84880,0
110011101,lat,42.3833,68,82,55946,0
00101000,lon,-96.2536,119,145,104855,0
00101001,lon,-95.9833,136,161,121906,0
1111100,lat,54.2,295,435,344405,1
1111101,lat,53.15,279,403,316837,1
010011101,lat,45.8833,50,58,40130,0
010011100,lat,45.9183,65,78,53250,0
111000000,lat,44.5833,84,99,70366,0
100101100,lat,38.8894,60,77,49150,0
00010001,lon,-122.05,132,161,118342,0
00010000,lon,-122.0481,139,178,126942,0
111100100,lat,52.25,99,130,85870,1
111100101,lat,52.25,79,96,65984,1
111010111,lat,44.567,79,109,67011,1
1011111,lat,36.6,309,525,388525,1
010101011,lat,64.7919,48,62,38746,0
010101010,lat,65.5858,70,83,57640,0
0111011,lat,51.25,189,284,192376,0
0111010,lat,52.07,191,266,190966,0
1,lat,40.7742,488,21865,11027090,0
110101010,lat,48.23,66,73,53728,1
1001110,lat,39.8167,207,304,214768,0
10111101,lon,4.2156,166,259,164904,0
110101011,lat,47.2375,63,74,51382,1
101110,lon,103.567,288,875,462970,1
101111,lon,77.267,406,1055,725440,1
110100110,lat,44.45,58,64,46782,0
10111100,lon,14.4831,161,271,161891,0
011001110,lat,45.0983,45,52,35920,0
011001111,lat,45.2667,54,64,43606,0
11100111,lon,-53.88,171,234,165574,0
11100110,lon,-53.28,169,214,160266,0
0011101,lat,37.0536,226,287,230572,0
000111110,lat,40.5333,45,51,35875,0
000111111,lat,40.7333,63,77,51571,0
000110100,lat,37.7256,52,67,42174,1
011001,lon,-106.9694,298,496,366078,1
110111101,lat,46.07,40,47,31810,0
110111100,lat,46.18,39,48,31072,0
11000011,lon,-82.7167,125,153,111105,0
11000010,lon,-82.2167,135,174,122770,0
111110110,,0.0,98,114,83442,0
111110111,lat,54.733,95,113,80815,0
011100101,lat,46.6833,42,47,33364,1
011100100,lat,46.5833,52,59,41758,1
01001011,lon,-114.0742,85,103,71535,0
01001010,lon,-114.1167,80,104,67450,0
111011,lon,38.517,381,957,643477,1
111111,lon,96.583,393,957,663721,1
111110,lon,96.967,415,838,651450,1
101101111,lat,40.6036,64,79,52506,0
1001010,lat,39.4158,187,266,186982,0
1001011,lat,39.55,230,350,249130,0
1100000,lat,41.4931,231,341,248131,0
111010011,lat,45.183,101,118,86378,0
101101110,lat,40.3667,60,69,48670,0
01110000,lon,-110.55,102,126,88042,0
11110011,lon,24.417,183,248,179704,0
11110010,lon,27.633,138,226,132658,0
001101101,lat,39.2942,60,73,48910,0
001101100,lat,39.4483,61,73,49713,0
11001010,lon,-73.1167,146,181,133736,0
11001011,lon,-71.7667,118,173,107284,0
111000001,lat,44.65,77,92,64024,0
101000100,lat,-33.8878,53,58,42494,0
101000101,lat,-34.8533,46,54,36794,0
11010001,lon,-88.3786,107,129,92643,1
11010000,lon,-88.4533,94,112,79878,1
011000010,lat,43.4,48,54,38362,0
011000011,lat,43.2372,61,71,49591,0
110101001,lat,45.7181,56,65,45250,0
110101000,lat,45.7081,55,68,44620,0
110010000,lat,41.0167,59,68,47812,0
110010001,lat,41.0089,47,54,37578,0
001011101,lat,32.9667,65,77,53185,0
001011100,lat,32.8869,57,68,46216,0
100011010,lat,35.0592,62,72,50454,0
00110000,lon,-102.6133,110,130,95330,0
00110001,lon,-102.1236,114,135,99340,0
11100001,lon,-66.61,125,185,115105,0
11100000,lon,-66.9,151,191,139801,0
10100000,lon,77.5,76,142,67002,1
0011100,lat,37.0911,1,288,1748,0
00010,lat,39.0117,413,1116,763128,1
00011,lat,39.5264,400,992,689530,1
1100100,lat,41.3667,225,279,227755,0
1100101,lat,41.5833,255,354,277150,0
100000101,lat,30.6,52,63,41966,1
110011,lon,-73.8167,376,618,507578,1
110010,lon,-74.05,378,633,515944,1
110000111,lat,41.6281,69,79,56551,0
110000110,lat,41.5725,63,74,51382,0
01100010,lon,-103.5189,98,112,83246,0
101100000,lat,35.5333,62,70,50330,0
000010101,lat,28.83,42,50,33490,1
000010100,lat,29.33,49,56,39244,1
101100001,lat,35.2975,58,68,47014,0
10001000,lon,-82.3161,126,158,112618,0
10001001,lon,-83.0758,119,138,104022,0
101001000,lat,0.83,81,104,68284,0
110000000,lat,41.1739,61,73,49713,0
10110,lat,38.9833,440,1187,844210,1
10111,lat,34.683,409,1930,1088670,1
110100111,lat,44.35,50,60,40230,0
01011,lat,50.3,436,1201,842646,1
01010,lat,56.95,362,1235,712060,1
0101111,lat,52.55,202,287,206164,0
101111000,lat,37.1367,112,128,96826,1
100111100,lat,39.2189,59,67,47753,0
100111101,lat,39.3333,65,75,53055,0
00011101,lon,-111.6722,74,96,61854,0
00011100,lon,-111.55,105,124,90400,0
101001001,lat,-17.817,74,144,65406,0
100011101,lat,33.6833,65,74,52990,0
100011100,lat,33.8089,64,74,52186,0
111111001,lat,59.6,75,119,64405,0
0110111,lat,44.6981,228,295,234430,1
0110110,lat,44.5178,227,297,233859,1
010010001,lat,43.2044,66,77,53992,0
010010000,lat,42.7083,44,48,34962,0
111001100,lat,47.43,75,88,62080,0
111001101,lat,47.57,104,126,89754,0
101011001,lat,-31.7055,47,55,37625,0
101011000,lat,-30.0362,40,45,31730,0
001000011,lat,29.95,59,66,47694,0
001000010,lat,30.2678,46,52,36702,0
101111001,lat,37.4,84,143,74062,1
0101100,lat,49.1,223,337,238671,0
0101101,lat,49.02,206,276,207966,0
01000100,lon,-122.6894,99,146,87454,1
01000101,lon,-122.5833,118,153,104924,1
110001110,lat,43.0581,68,82,55946,1
000110010,lat,38.9594,47,63,38001,0
000110011,lat,39.05,61,71,49591,0
110110001,lat,43.9761,53,59,42547,0
110110000,lat,44.22,66,80,54190,0
100000110,lat,32.3667,63,74,51382,0
100000111,lat,32.0603,53,61,42653,0
001110110,lat,37.8639,64,77,52378,0
001110111,lat,37.8958,66,76,53926,0
111111010,lat,65.967,113,138,98814,1
111111011,lat,67.433,82,110,69610,1
011001011,lat,45.2436,45,66,36550,1
011001010,lat,45.3333,58,73,47304,1
100100001,lat,36.3925,59,69,47871,0
100100000,lat,36.4136,44,50,35050,0
010110101,lat,48.5394,57,65,46045,1
010110100,lat,48.4,59,67,47753,1
011010000,lat,41.9564,59,72,48048,0
011010001,lat,41.9644,57,71,46387,0
01011001,lon,-120.0,152,196,141482,0
110100011,lat,44.6392,56,62,45082,0
110100010,lat,44.5114,56,67,45362,0
000111011,lat,40.8111,35,43,27785,1
000111010,lat,40.9833,45,53,35965,1
0001101,lat,38.4461,172,260,171010,1
0001100,lat,38.3897,180,236,174610,1
01101001,lon,-97.2567,104,127,89858,1
01101000,lon,-96.9575,122,143,107236,1
000100000,lat,37.7333,77,94,64178,0
000100001,lat,37.5667,71,84,58524,0
0101,lon,-122.57,475,2436,1504580,1
0100,lon,-119.15,508,2082,1429226,1
010111100,lat,51.183,55,64,44400,0
010111101,lat,51.76,67,80,55000,0
11000110,lon,-82.85,137,171,124167,0
0111000,lat,47.2972,189,255,186895,0
111110011,lat,55.3,85,99,71195,0
111110010,lat,55.7,112,138,97946,0
00000110,lon,-117.3833,124,152,110098,1
10101011,lon,149.7,90,113,76600,1
00000111,lon,-115.4278,111,148,98188,1
001100001,lat,36.1981,59,68,47812,0
001100000,lat,36.3333,55,62,44290,0
011000,lon,-106.4136,314,471,377844,1
000001101,lat,34.2442,67,80,55000,0
000001100,lat,34.2211,65,72,52860,0
01001110,lon,-113.8933,110,136,95990,0
01001111,lon,-114.0983,115,142,101010,0
001010001,lat,29.2353,65,75,53055,0
001010000,lat,28.6167,61,70,49530,0
1001111,lat,39.66,222,292,227614,0
000,lat,37.0856,478,4119,2318552,1
100001,lon,-87.15,348,608,466354,1
100000,lon,-87.8125,315,525,396055,1
1011000,lat,36.6,165,262,164410,0
11101101,lon,13.9314,185,248,181660,0
11101100,lon,14.1331,190,281,192820,0
111010,lon,46.117,287,915,472845,1
111010110,lat,44.4,96,113,81658,1
1001,lon,-84.2342,543,2316,1654708,1
1000,lon,-83.9167,507,2349,1561783,1
011000111,lat,43.1803,57,68,46216,0
011000110,lat,43.35,42,46,33322,0
00100111,lon,-98.65,105,132,91240,0
00100110,lon,-98.6058,129,157,115153,0
001111010,lat,40.85,59,72,48048,0
001111011,lat,40.7672,49,61,39489,0
0110,lon,-99.4894,536,2115,1525650,1
100101000,lat,38.7667,66,81,54256,0
100101001,lat,38.7003,53,64,42812,0
0111,lon,-102.83,529,2104,1499916,1
001100,lon,-99.9964,334,536,423574,1
001101,lon,-99.9,334,544,426246,1
001001010,lat,34.5119,56,62,45082,0
001001011,lat,34.1981,64,78,52442,0
0100000,lat,43.3708,218,297,224616,1
0100001,lat,43.5611,152,230,146650,1
100000100,lat,30.7794,53,63,42759,1
110000101,lat,41.0375,78,94,65002,0
11010,lat,45.0283,454,1084,824286,1
11011,lat,45.42,461,1097,842977,1
000011001,lat,34.1667,33,37,26041,1
000011000,lat,34.3222,51,60,41020,1
00111,lat,38.7042,448,1174,853722,1
00110,lat,38.5872,464,1080,840570,1
01011111,lon,-114.1,110,143,96760,0
01011110,lon,-114.1,119,144,104736,0
10101010,lon,147.5033,84,118,71962,1
010000101,lat,42.2667,44,50,35050,1
010000100,lat,42.4333,38,54,30522,1
01110100,lon,-109.517,89,114,75846,0
01110101,lon,-110.33,119,152,105688,0
1011101,lat,30.733,272,517,339914,1
010111,lon,-116.45,326,588,430398,1
010110,lon,-117.817,344,613,462722,1
110110,lon,-73.4167,374,619,505256,1
1011100,lat,23.467,168,358,183514,1
111101101,lat,61.083,108,128,93394,0
111101100,lat,59.517,99,119,84781,0
010100100,lat,48.62,82,93,68216,1
010100101,lat,48.6,75,85,61855,1
10011,lat,38.6833,468,1140,875890,1
10010,lat,38.3769,453,1176,864148,1
10011001,lon,-82.5,109,132,94688,0
10011000,lon,-82.6658,85,130,73830,0
10011101,lon,-82.9433,146,173,132568,1
11,lon,-69.9,554,12013,7060352,1
10,lon,-78.7914,495,9852,5238820,1
110011010,lat,43.1014,74,87,61188,0
011110001,lat,46.3833,49,57,39293,0
00111010,lon,-92.4,113,134,98362,0
100001010,lat,35.0264,65,80,53380,0
100001011,lat,35.155,74,86,61114,0
000010111,lat,32.9308,56,63,45138,0
10010111,lon,-85.7611,141,189,130309,0
11011101,lon,-75.2,96,117,82042,1
11011100,lon,-74.2,110,135,95880,1
0010110,lat,33.6461,195,262,194170,0
0010111,lat,33.8228,215,300,222180,0
01011000,lon,-120.6475,106,141,93056,0
01010011,lon,-123.17,127,176,115792,1
01010010,lon,-123.37,123,178,112414,1
010001001,lat,45.6228,54,75,44200,1
010001000,lat,45.9411,64,71,51994,1
100110101,lat,36.2119,61,73,49713,0
100110100,lat,36.4819,61,71,49591,0
000110111,lat,39.0808,60,73,48910,1
000110110,lat,38.9028,53,67,42971,1
011101010,lat,53.52,58,69,47072,0
011101011,lat,53.3,68,83,56014,0
0000001,lat,33.2,184,275,185650,1
0000000,lat,21.1539,117,245,114805,1
1010010,lat,6.93,234,442,274978,0
1010011,lat,-12.4227,181,278,183178,0
00111111,lon,-92.5747,125,153,111105,0
00111110,lon,-92.4667,131,180,119940,0
111011000,lat,47.3989,64,146,56794,0
111011001,lat,47.017,87,135,75985,0
111111111,lat,65.733,111,130,96190,1
10101111,lon,152.555,102,138,89266,0
10101110,lon,151.45,76,105,64190,0
01100101,lon,-110.2167,94,139,82416,0
01100100,lon,-109.55,99,125,85375,0
011011100,lat,44.0,52,63,41966,0
011011101,lat,43.9042,67,81,55067,0
101010110,lat,-35.1667,48,59,38602,0
101010111,lat,-33.95,46,54,36794,0
001110011,lat,37.8117,81,102,68122,0
001110010,lat,37.8253,60,70,48730,0
1000000,lat,30.8489,183,264,182632,0
1000001,lat,31.5333,193,261,191993,0
1001001,lat,36.9833,208,286,212058,0
00001001,lon,-111.7117,86,108,72798,1
00001000,lon,-110.7317,117,145,103105,1
1001000,lat,37.0956,197,274,198518,0
000000001,lat,19.6333,25,55,20355,1
000000000,lat,20.7583,31,46,24786,1
10110011,lon,-76.1333,126,163,113248,1
101001101,lat,-16.2636,38,42,30066,0
101001100,lat,-20.3139,46,50,36610,0
100101101,lat,39.0431,69,84,56896,0
110001011,lat,43.1,71,83,58453,0
11111001,lon,67.3,185,237,179625,0
11111000,lon,68.1,161,198,150138,0
110001010,lat,43.1,64,78,52442,0
10000111,lon,-85.8008,116,141,101766,0
10000110,lon,-85.7789,127,154,112998,0
0011010,lat,40.2233,193,255,190835,0
0011011,lat,40.1,208,289,212682,0
111010010,lat,45.8,121,158,108178,0
00101011,lon,-92.4617,113,141,99153,1
00101010,lon,-92.065,110,145,96980,1
010011110,lat,47.4667,66,78,54058,0
010011111,lat,47.1828,55,64,44400,0
00100010,lon,-98.0678,105,142,92290,0
00100011,lon,-98.2339,147,186,135382,0
110111,lon,-72.77,294,478,355882,1
101101010,lat,40.0417,58,64,46782,0
101101011,lat,40.1139,78,93,64924,0
000000,lon,-117.9789,230,520,288230,1
000001,lon,-118.4547,330,603,440620,1
010101000,lat,59.7333,68,79,55742,0
010101001,lat,61.2167,52,64,42018,0
1101101,lat,44.42,245,335,261655,0
1101100,lat,44.53,200,284,203530,0
11100010,lon,-2.6544,160,277,161850,0
1111110,lat,62.433,285,468,342160,1
111000011,lat,45.78,87,102,73114,1
110111000,lat,45.62,57,69,46273,0
111000010,lat,45.6503,73,83,60079,1
00000101,lon,-120.45,103,155,91885,0
00000100,lon,-119.3539,122,148,107846,0
110111001,lat,45.63,52,66,42122,0
11100011,lon,-62.02,117,221,111997,0
100011111,lat,34.9603,78,90,64690,0
01111000,lon,-100.2875,93,113,79129,1
01111001,lon,-100.0,87,106,73462,1
0101110,lat,52.45,202,301,208992,0
101110100,lat,25.333,104,130,90170,0
101010010,lat,-36.3347,48,56,38458,0
001001111,lat,34.6097,61,73,49713,0
001001110,lat,34.65,50,59,40180,0
011011,lon,-94.9167,340,592,450210,1
011010,lon,-94.9761,317,556,408392,1
00010100,lon,-121.6183,104,160,93290,0
00010101,lon,-122.3833,110,136,95990,0
111100001,lat,51.6581,94,128,81382,0
111100000,lat,51.88,74,102,62298,0
011100110,lat,48.3478,48,56,38458,0
011100111,lat,48.2833,51,60,41020,0
110001000,lat,42.4,59,75,48225,0
10111110,lon,136.15,187,270,187730,0
10010101,lon,-88.7075,95,121,81575,1
10010100,lon,-89.0922,120,145,105730,1
10111111,lon,117.533,197,255,194775,0
000101100,lat,39.3256,48,57,38506,0
000101101,lat,39.3833,50,58,40130,0
001101110,lat,40.7258,57,66,46102,0
001101111,lat,40.8586,66,77,53992,0
11001001,lon,-76.8464,136,157,121362,0
11001000,lon,-75.7278,103,122,88486,0
010010,lon,-115.6186,274,446,322954,0
010011,lon,-115.9667,329,540,418560,0
100011,lon,-81.6967,357,630,486250,1
101101000,lat,39.4,59,71,47989,0
100010111,lat,29.1828,60,70,48730,1
100010110,lat,30.2875,75,89,62155,1
0100101,lat,42.9403,150,207,141280,0
0100100,lat,43.8,178,239,173212,0
001011110,lat,34.5697,59,71,47989,0
001011111,lat,34.4764,70,84,57710,0
100011110,lat,34.9386,56,66,45306,0
00110011,lon,-98.4244,115,146,101470,0
00110010,lon,-98.1331,101,125,87085,0
0110101,lat,42.4733,1,286,1746,0
10100011,lon,128.1092,91,100,76260,0
10100010,lon,137.5328,98,112,83246,0
100001111,lat,34.9833,65,74,52990,0
100001110,lat,35.1803,56,67,45362,0
0010011,lat,33.5947,212,289,216758,0
0010010,lat,33.5281,229,282,232478,0
001111111,lat,40.8333,65,80,53380,0
001111110,lat,40.9833,57,73,46501,0
10000010,lon,-85.6833,96,126,82906,0
010110001,lat,48.5667,47,53,37531,0
01010110,lon,-135.2319,94,145,82980,1
01010111,lon,-142.1667,103,121,88383,1
10000011,lon,-85.8889,112,135,97610,0
011110000,lat,46.3931,46,56,36886,0
101000001,lat,-33.5719,42,54,33658,1
101000000,lat,-36.567,45,88,37540,1
000010110,lat,32.9167,48,55,38410,0
00111011,lon,-92.7667,122,153,108456,0
1010111,lat,-28.3395,167,243,163221,0
1010110,lat,-23.5267,123,177,112291,0
10001011,lon,-81.3333,119,159,106521,1
10001010,lon,-80.6256,109,131,94579,1
110000100,lat,41.0167,65,80,53380,0
00,lon,-104.6822,541,8628,5063408,1
01,lon,-112.12,580,8737,5491590,1
110010101,lat,41.35,80,93,66570,0
110010100,lat,41.1247,74,88,61262,0
01000,lat,45.2214,413,1096,754868,1
01001,lat,44.8872,433,986,743758,1
011111110,lat,50.617,55,67,44565,0
011111111,lat,50.63,85,104,71620,0
11100100,lon,-66.42,145,193,134565,0
11100101,lon,-67.1,114,135,99340,0
0110100,lat,42.5,194,270,194730,0
010011011,lat,46.95,56,63,45138,0
11010110,lon,-83.5644,118,163,106104,1
001000000,lat,21.67,39,45,30955,1
001000001,lat,25.733,36,39,28414,1
0011110,lat,40.2486,191,266,190966,0
010010010,lat,44.4,39,47,31033,0
010010011,lat,44.1011,58,67,46956,0
101100010,lat,38.0111,46,51,36656,1
0011111,lat,40.1433,217,333,231401,0
010011010,lat,47.3,65,76,53120,0
00101110,lon,-92.3989,116,145,102230,0
00101111,lon,-92.4294,122,155,108700,0
01000111,lon,-120.9833,106,137,92632,1
01000110,lon,-120.6008,101,133,87893,1
110110010,lat,45.0,68,81,55878,0
110110011,lat,45.05,54,64,43606,0
100100010,lat,37.6167,61,71,49591,0
100100011,lat,37.7408,70,84,57710,0
110100000,lat,43.79,45,53,35965,0
110100001,lat,43.8933,53,59,42547,0
011001000,lat,44.4167,43,53,34399,0
011001001,lat,44.4908,61,72,49652,0
111000111,lat,45.63,100,128,86530,1
010110110,lat,49.48,72,85,59410,0
010110111,lat,49.67,50,59,40180,0
100111001,lat,39.2753,51,60,41020,0
100111000,lat,39.3542,60,71,48790,0
00011000,lon,-109.9878,77,102,64794,0
00011001,lon,-111.25,110,134,95770,0
0001110,lat,40.5467,161,220,153680,0
0001111,lat,40.3,184,276,185834,0
000111000,lat,40.2167,45,50,35830,0
000111001,lat,40.1667,65,74,52990,0
100010010,lat,31.2644,59,68,47812,0
100010011,lat,31.2514,63,70,51130,0
111001001,lat,46.67,97,117,82889,1
111001000,lat,47.07,66,76,53926,1
001100010,lat,38.0392,67,76,54732,0
001100011,lat,37.6333,51,59,40969,0
010101101,lat,58.83,57,67,46159,1
010101100,lat,59.5272,65,78,53250,1
111110000,lat,52.95,86,101,72196,0
111110001,lat,52.867,83,97,69371,0
